"ID","Status_Name","Historical_Step_Status.Duration","Submission_Historical_Status_StartDate","Submission_Historical_Status_EndDate","Historical_Step_Name","process_end","New","Hiring Manager Slate Decision","Phase 2 Employment Application","Hiring Manager Interview","Offer","Additional Interview","Assessment","Assessment 1","Assessment 2","Background Check","Criminal Check","Evaluation","Pre-Employment Screen","Recruiter Interview","Verification Check","Hire"
2,"Approved",0.000127315,2018-09-04 16:36:00,"43347.691666666666","Offer","In Process",NA,NA,NA,NA,0.000127315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Extended",8.1e-05,2018-09-04 16:36:00,"43347.691666666666","Offer","In Process",NA,NA,NA,NA,8.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Accepted",0.25662037,2018-09-04 16:37:00,"43347.949305555558","Offer","In Process",NA,NA,NA,NA,0.25662037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Reneged",0.00119213,2018-09-04 22:47:00,"43347.95","Offer","In Process",NA,NA,NA,NA,0.00119213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Draft",0.001701389,2018-09-04 22:48:00,"43347.95208333333","Offer","In Process",NA,NA,NA,NA,0.001701389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Approved",0.00025463,2018-09-04 22:51:00,"43347.95208333333","Offer","In Process",NA,NA,NA,NA,0.00025463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Extended",0.000115741,2018-09-04 22:51:00,"43347.95208333333","Offer","In Process",NA,NA,NA,NA,0.000115741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Approval in Progress",1.16e-05,2018-09-04 22:51:00,"43347.95208333333","Offer","In Process",NA,NA,NA,NA,1.16e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Accepted",0.715300926,2018-09-04 22:53:00,"43348.668749999997","Offer","In Process",NA,NA,NA,NA,0.715300926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Reneged",0.004884259,2018-09-05 16:03:00,"43348.673611111109","Offer","In Process",NA,NA,NA,NA,0.004884259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Draft",0.000428241,2018-09-05 16:10:00,"43348.673611111109","Offer","In Process",NA,NA,NA,NA,0.000428241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Approval in Progress",0.266736111,2018-09-05 16:10:00,"43348.94027777778","Offer","In Process",NA,NA,NA,NA,0.266736111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Approved",0.000300926,2018-09-05 22:34:00,"43348.940972222219","Offer","In Process",NA,NA,NA,NA,0.000300926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
